ddc_id,obj_type,obj_id,eqp,gl_param_name,display_name,gl_code,skip
PLC01,binaryOutput,20,Air cooled Chiller,cmd_on_off_00,CH_01_On/Off Command,GL 01 00 01 BA 0 001,
PLC01,binaryInput,0,Air cooled Chiller,sts_on_off_00,CH_01_On/Off Status,GL 01 00 01 BA 0 002,
PLC01,binaryOutput,0,Air cooled Chiller,cmd_evap_vlv_on_off_00,CH_01_Evap Valve Command,GL 01 00 01 BA 0 003,
PLC01,binaryInput,1,Air cooled Chiller,sts_evap_vlv_on_off_00,CH_01_Evap Valve Status,GL 01 00 01 BA 0 004,
PLC01,binaryInput,2,Air cooled Chiller,alm_trip_00,CH_01_Trip Status,GL 01 00 01 BA A 005,
PLC01,binaryInput,3,Air cooled Chiller,sts_auto_manual_00,CH_01_Auto Manual Status,GL 01 00 01 BA 0 006,
PLC01,binaryOutput,1,Air cooled Chiller,cmd_on_off_00,CH_02_On/Off Command,GL 01 00 02 BA 0 001,
PLC01,binaryInput,4,Air cooled Chiller,sts_on_off_00,CH_02_On/Off Status,GL 01 00 02 BA 0 002,
PLC01,binaryOutput,2,Air cooled Chiller,cmd_evap_vlv_on_off_00,CH_02_Evap Valve Command,GL 01 00 02 BA 0 003,
PLC01,binaryInput,5,Air cooled Chiller,sts_evap_vlv_on_off_00,CH_02_Evap Valve Status,GL 01 00 02 BA 0 004,
PLC01,binaryInput,6,Air cooled Chiller,alm_trip_00,CH_02_Trip Status,GL 01 00 02 BA A 005,
PLC01,binaryInput,7,Air cooled Chiller,sts_auto_manual_00,CH_02_Auto Manual Status,GL 01 00 02 BA 0 006,
PLC01,binaryOutput,3,Primary Pump,cmd_on_off_00,Primary Pump_01_On/Off Command,GL 01 00 01 B1 0 001,
PLC01,binaryInput,8,Primary Pump,sts_on_off_00,Primary Pump _01_On/Off status,GL 01 00 01 B1 0 002,
PLC01,binaryInput,9,Primary Pump,alm_trip_00,Primary Pump_01_Trip Status,GL 01 00 01 B1 A 003,
PLC01,binaryInput,10,Primary Pump,sts_auto_manual_00,Primary Pump _01_Auto Manual status,GL 01 00 01 B1 0 004,
PLC01,binaryOutput,4,Primary Pump,cmd_on_off_00,Primary Pump_02_On/Off Command,GL 01 00 02 B1 0 001,
PLC01,binaryInput,11,Primary Pump,sts_on_off_00,Primary Pump _02_On/Off status,GL 01 00 02 B1 0 002,
PLC01,binaryInput,12,Primary Pump,alm_trip_00,Primary Pump_02_Trip Status,GL 01 00 02 B1 A 003,
PLC01,binaryInput,13,Primary Pump,sts_auto_manual_00,Primary Pump _02_Auto Manual status,GL 01 00 02 B1 0 004,
PLC01,binaryOutput,5,Primary Pump,cmd_on_off_00,Primary Pump_03_On/Off Command,GL 01 00 03 B1 0 001,
