ddc_id,obj_type,obj_id,eqp,gl_param_name,display_name,gl_code,skip
DDC01,analogInput,1,C0,par_cdw_sup_temp_00,Condenser Water Supply Header Temperature,GL 01 00 01 C0 0 009,
DDC01,analogInput,2,C0,par_cdw_ret_temp_00,Condenser Water Return Header Temperature,GL 01 00 01 C0 0 00A,
DDC01,analogOutput,2,C0,cmd_cwh_sup_temp_00,Chilled Water Supply Header Temperature Setpoint,GL 01 00 01 C0 0 00B,
DDC01,analogInput,3,C0,par_cwh_sup_temp_01,Chilled Water Supply Header Temperature 1,GL 01 00 01 C0 0 003,
DDC01,analogInput,4,C0,par_cwh_ret_temp_01,Chilled Water Return Header Temperature 1,GL 01 00 01 C0 0 005,
DDC01,analogOutput,4,C0,cmd_cdw_sup_temp_00,Condenser Water Supply Header Temperature setpoint,GL 01 00 01 C0 0 00C,
DDC01,analogInput,5,C0,par_cwh_sup_temp_02,Chilled Water Supply Header Temperature 2,GL 01 00 01 C0 0 004,
DDC01,analogInput,6,C0,par_cwh_ret_temp_02,Chilled Water Return Header Temperature 2,GL 01 00 01 C0 0 006,
DDC01,analogInput,7,C0,par_dpt_01,Differential Pressure Transmitter - 1,GL 01 00 01 C0 0 007,
DDC01,analogInput,8,C0,par_dpt_02,Differential Pressure Transmitter - 2,GL 01 00 01 C0 0 008,
DDC01_01,binaryOutput,1,B0,cmd_evap_vlv_on_off_00,CH_01_Evap Valve Command,GL 01 00 01 B0 0 005,
DDC01_01,binaryOutput,2,B0,cmd_evap_vlv_on_off_00,CH_02_Evap Valve Command,GL 01 00 02 B0 0 005,
DDC02,binaryOutput,1,B0,cmd_cond_vlv_on_off_00,CH_01_Cond Valve Command,GL 02 00 01 B0 0 007,
DDC02,binaryOutput,2,B0,cmd_cond_vlv_on_off_00,CH_02_Cond Valve Command,GL 02 00 02 B0 0 007,
DDC02,binaryInput,5,B0,sts_cond_vlv_on_off_00,CH_01_Cond Valve Status,GL 02 00 01 B0 0 008,
DDC02,binaryInput,6,B0,sts_cond_vlv_on_off_00,CH_02_Cond Valve Status,GL 02 00 02 B0 0 008,
DDC02,binaryInput,9,B0,sts_evap_vlv_on_off_00,CH_01_Evap Valve Status,GL 02 00 01 B0 0 006,
DDC02,binaryInput,10,B0,sts_evap_vlv_on_off_00,CH_02_Evap Valve Status,GL 02 00 02 B0 0 006,
DDC03,binaryOutput,1,B1,cmd_on_off_00,PP_01_On/Off Command,GL 03 00 01 B1 0 001,
DDC03,binaryOutput,2,B1,cmd_on_off_00,PP_02_On/Off Command,GL 03 00 02 B1 0 001,
DDC03,binaryOutput,3,B1,cmd_on_off_00,PP_03_On/Off Command,GL 03 00 03 B1 0 001,
DDC04,binaryOutput,1,CB,cmd_on_off_00,SP_Seq_01_On/Off Command,GL 04 00 01 CB 0 001,
DDC04,binaryOutput,2,CB,cmd_on_off_00,SP_Seq_02_On/Off Command,GL 04 00 02 CB 0 001,
DDC05,binaryOutput,1,B4,cmd_on_off_00,CP_01_On/Off Command,GL 05 00 01 B4 0 001,
DDC05,binaryOutput,2,B4,cmd_on_off_00,CP_02_On/Off Command,GL 05 00 02 B4 0 001,
DDC05,binaryOutput,3,B4,cmd_on_off_00,CP_03_On/Off Command,GL 05 00 03 B4 0 001,
DDC06,binaryOutput,1,B7,cmd_on_off_00,CT_01_On/Off Command,GL 06 00 01 B7 0 001,
DDC06,binaryInput,1,B7,sts_on_off_00,CT_01_On/Off status,GL 06 00 01 B7 0 002,
DDC06,analogOutput,1,B7,cmd_fan_frequency_00,CT_01_VFD Hz Command,GL 06 00 01 B7 0 003,
DDC06,binaryOutput,2,B7,cmd_on_off_00,CT_02_On/Off Command,GL 06 00 02 B7 0 001,
DDC06,binaryInput,2,B7,sts_on_off_00,CT_02_On/Off status,GL 06 00 02 B7 0 002,
DDC06,analogOutput,2,B7,cmd_fan_frequency_00,CT_02_VFD Hz Command,GL 06 00 02 B7 0 003,
DDC06,binaryOutput,3,B7,cmd_on_off_00,CT_03_On/Off Command,GL 06 00 03 B7 0 001,
DDC06,binaryInput,3,B7,sts_on_off_00,CT_03_On/Off status,GL 06 00 03 B7 0 002,
DDC06,analogOutput,3,B7,cmd_fan_frequency_00,CT_03_VFD Hz Command,GL 06 00 03 B7 0 003,
DDC06,binaryInput,9,B7,alm_trip_00,CT_01_Trip Status,GL 06 00 01 B7 A 006,
DDC06,binaryInput,10,B7,alm_trip_00,CT_02_Trip Status,GL 06 00 02 B7 A 006,
DDC06,binaryInput,11,B7,alm_trip_00,CT_03_Trip Status,GL 06 00 03 B7 A 006,
DDC06,binaryInput,13,B7,sts_auto_manual_00,CT_01_Auto Manual Status,GL 06 00 01 B7 0 005,
DDC06,binaryInput,14,B7,sts_auto_manual_00,CT_02_Auto Manual Status,GL 06 00 02 B7 0 005,
DDC06,binaryInput,15,B7,sts_auto_manual_00,CT_03_Auto Manual Status,GL 06 00 03 B7 0 005,
DDC07,analogInput,1,C0,par_out_air_temp_00,Outside Air Temperature ,GL 07 00 01 C0 0 001,
DDC07,binaryOutput,1,B7,cmd_vlv_on_off_00,CT_01_CT Inlet Valve Command,GL 07 00 01 B7 0 009,
DDC07,analogInput,2,C0,par_out_air_humidity_00,Outside Air Humidity,GL 07 00 01 C0 0 002,
DDC07,binaryOutput,2,B7,cmd_vlv_on_off_00,CT_02_CT Inlet Valve Command,GL 07 00 02 B7 0 009,
DDC07,binaryInput,3,B7,sts_vlv_on_off_01,CT_01_CT Valve Inlet Status 1,GL 07 00 01 B7 0 00A,
DDC07,binaryOutput,3,B7,cmd_vlv_on_off_00,CT_03_CT Inlet Valve Command,GL 07 00 03 B7 0 009,
DDC07,binaryInput,4,B7,sts_vlv_on_off_02,CT_01_CT Valve Inlet Status 2,GL 07 00 01 B7 0 00B,
DDC07,binaryInput,5,B7,sts_vlv_on_off_01,CT_02_CT Valve Inlet Status 1,GL 07 00 02 B7 0 00A,
DDC07,binaryInput,9,B7,sts_vlv_on_off_02,CT_02_CT Valve Inlet Status 2,GL 07 00 02 B7 0 00B,
DDC07,binaryInput,10,B7,sts_vlv_on_off_01,CT_03_CT Valve Inlet Status 1,GL 07 00 03 B7 0 00A,
DDC07,binaryInput,11,B7,sts_vlv_on_off_02,CT_03_CT Valve Inlet Status 2,GL 07 00 03 B7 0 00B,
DDC07_01,binaryInput,1,B7,sts_level_switch_high_00,CT_01_Water Level High,GL 01 00 01 B7 0 007,
DDC07_01,binaryInput,2,B7,sts_level_switch_low_00,CT_01_Water Level Low,GL 01 00 01 B7 0 008,
DDC07_01,binaryInput,3,B7,sts_level_switch_high_00,CT_02_Water Level High,GL 01 00 02 B7 0 007,
DDC07_01,binaryInput,4,B7,sts_level_switch_low_00,CT_02_Water Level Low,GL 01 00 02 B7 0 008,
DDC07_01,binaryInput,5,B7,sts_level_switch_high_00,CT_03_Water Level High,GL 01 00 03 B7 0 007,
DDC07_01,binaryInput,6,B7,sts_level_switch_low_00,CT_03_Water Level Low,GL 01 00 03 B7 0 008,
DDC09,analogValue,2,C0,par_actual_flow_00,Btu Meter Actual Flow,GL 09 00 01 C0 0 00D,
DDC09,analogValue,3,C0,par_actual_power_00,Btu Meter Actual Power,GL 09 00 01 C0 0 00E,
DDC09,analogValue,4,C0,par_energy_consump_00,Btu Meter Energy Consumption,GL 09 00 01 C0 0 00F,
DDC09,analogValue,5,C0,par_inlet_temp_00,Btu Meter Inlet Temperature,GL 09 00 01 C0 0 010,
DDC09,analogValue,6,C0,par_outlet_temp_00,Btu Meter Outlet Temperature,GL 09 00 01 C0 0 011,
DDC09,analogValue,7,B0,sts_on_off_00,CH_01_On/Off status,GL 09 00 01 B0 0 002,
DDC09,analogValue,8,B0,sts_auto_manual_00,CH_01_Auto Manual Status,GL 09 00 01 B0 0 003,
DDC09,analogValue,9,B0,alm_trip_00,CH_01_Trip Status,GL 09 00 01 B0 A 004,
DDC09,analogValue,10,B0,par_comp_run_hrs_00,CH_01_Run Hours,GL 09 00 01 B0 0 009,
DDC09,analogValue,11,B0,cmd_evap_leaving_temp_00,CH_01_Evap Leaving Temp Set Point,GL 09 00 01 B0 0 00A,
DDC09,analogValue,12,B0,sts_evap_leaving_temp_00,CH_01_Evap Leaving Temp ,GL 09 00 01 B0 0 00B,
DDC09,analogValue,13,B0,par_evap_entering_temp_00,CH_01_Evap Entering Temp ,GL 09 00 01 B0 0 00C,
DDC09,analogValue,14,B0,sts_evap_flow_00,CH_01_Evap Flow Switch,GL 09 00 01 B0 0 00D,
DDC09,analogValue,15,B0,par_suction_pressure_00,CH_01_Evaporator Pressure,GL 09 00 01 B0 0 00E,
DDC09,analogValue,16,B0,par_cond_leaving_temp_00,CH_01_Cond Leaving Temp ,GL 09 00 01 B0 0 00F,
DDC09,analogValue,17,B0,par_cond_entering_temp_00,CH_01_Cond Entering Temp ,GL 09 00 01 B0 0 010,
DDC09,analogValue,18,B0,sts_cond_flow_00,CH_01_Cond Flow Switch,GL 09 00 01 B0 0 011,
DDC09,analogValue,19,B0,par_discharge_pressure_00,CH_01_Condensor Pressure,GL 09 00 01 B0 0 012,
DDC09,analogValue,20,B0,par_discharge_temp_00,CH_01_Discharge Temperature,GL 09 00 01 B0 0 013,
DDC09,analogValue,21,B0,par_comp_percent_load_00,CH_01_% FLA / % RLA,GL 09 00 01 B0 0 014,
DDC09,analogValue,22,B0,par_comp_oil_pressure_00,CH_01_Oil Pressure,GL 09 00 01 B0 0 015,
DDC09,analogValue,23,B0,par_avg_current_00,CH_01_Motor Current,GL 09 00 01 B0 0 016,
DDC09,analogValue,24,B0,par_vsd_frequency_00,CH_01_VSD Frequency,GL 09 00 01 B0 0 017,
DDC09,analogValue,25,B0,alm_fault_00,CH_01_Fault Code,GL 09 00 01 B0 A 018,
DDC09,analogValue,26,B0,sts_on_off_00,CH_02_On/Off status,GL 09 00 02 B0 0 002,
DDC09,analogValue,27,B0,sts_auto_manual_00,CH_02_Auto Manual Status,GL 09 00 02 B0 0 003,
DDC09,analogValue,28,B0,alm_trip_00,CH_02_Trip Status,GL 09 00 02 B0 A 004,
DDC09,analogValue,29,B0,par_comp_run_hrs_00,CH_02_Run Hours,GL 09 00 02 B0 0 009,
DDC09,analogValue,30,B0,cmd_evap_leaving_temp_00,CH_02_Evap Leaving Temp Set Point,GL 09 00 02 B0 0 00A,
DDC09,analogValue,31,B0,sts_evap_leaving_temp_00,CH_02_Evap Leaving Temp ,GL 09 00 02 B0 0 00B,
DDC09,analogValue,32,B0,par_evap_entering_temp_00,CH_02_Evap Entering Temp ,GL 09 00 02 B0 0 00C,
DDC09,analogValue,33,B0,sts_evap_flow_00,CH_02_Evap Flow Switch,GL 09 00 02 B0 0 00D,
DDC09,analogValue,34,B0,par_suction_pressure_00,CH_02_Evaporator Pressure,GL 09 00 02 B0 0 00E,
DDC09,analogValue,35,B0,par_cond_leaving_temp_00,CH_02_Cond Leaving Temp ,GL 09 00 02 B0 0 00F,
DDC09,analogValue,36,B0,par_cond_entering_temp_00,CH_02_Cond Entering Temp ,GL 09 00 02 B0 0 010,
DDC09,analogValue,37,B0,sts_cond_flow_00,CH_02_Cond Flow Switch,GL 09 00 02 B0 0 011,
DDC09,analogValue,38,B0,par_discharge_pressure_00,CH_02_Condensor Pressure,GL 09 00 02 B0 0 012,
DDC09,analogValue,39,B0,par_discharge_temp_00,CH_02_Discharge Temperature,GL 09 00 02 B0 0 013,
DDC09,analogValue,40,B0,par_comp_percent_load_00,CH_02_% FLA / % RLA,GL 09 00 02 B0 0 014,
DDC09,analogValue,41,B0,par_comp_oil_pressure_00,CH_02_Oil Pressure,GL 09 00 02 B0 0 015,
DDC09,analogValue,42,B0,par_avg_current_00,CH_02_Motor Current,GL 09 00 02 B0 0 016,
DDC09,analogValue,43,B0,par_vsd_frequency_00,CH_02_VSD Frequency,GL 09 00 02 B0 0 017,
DDC09,analogValue,44,B0,alm_fault_00,CH_02_Fault Code,GL 09 00 02 B0 A 018,
DDC09,analogValue,45,B1,sts_on_off_00,PP_01_On/Off status,GL 09 00 01 B1 0 002,
DDC09,analogValue,46,B1,sts_auto_manual_00,PP_01_Auto Manual Status,GL 09 00 01 B1 0 003,
DDC09,analogValue,47,B1,alm_trip_00,PP_01_Trip Status,GL 09 00 01 B1 A 004,
DDC09,analogValue,48,B1,par_speed_00,PP_01_Speed,GL 09 00 01 B1 0 005,
DDC09,analogValue,49,B1,par_avg_power_00,PP_01_Motor Power,GL 09 00 01 B1 0 006,
DDC09,analogValue,50,B1,par_avg_voltage_00,PP_01_Motor Voltage,GL 09 00 01 B1 0 007,
DDC09,analogValue,51,B1,par_avg_current_00,PP_01_Motor Current,GL 09 00 01 B1 0 008,
DDC09,analogValue,52,B1,par_run_hours_00,PP_01_Run Hours,GL 09 00 01 B1 0 009,
DDC09,analogValue,53,B1,par_energy_00,PP_01_Energy,GL 09 00 01 B1 0 00A,
DDC09,analogValue,54,B1,sts_on_off_00,PP_02_On/Off status,GL 09 00 02 B1 0 002,
DDC09,analogValue,55,B1,sts_auto_manual_00,PP_02_Auto Manual Status,GL 09 00 02 B1 0 003,
DDC09,analogValue,56,B1,alm_trip_00,PP_02_Trip Status,GL 09 00 02 B1 A 004,
DDC09,analogValue,57,B1,par_speed_00,PP_02_Speed,GL 09 00 02 B1 0 005,
DDC09,analogValue,58,B1,par_avg_power_00,PP_02_Motor Power,GL 09 00 02 B1 0 006,
DDC09,analogValue,59,B1,par_avg_voltage_00,PP_02_Motor Voltage,GL 09 00 02 B1 0 007,
DDC09,analogValue,60,B1,par_avg_current_00,PP_02_Motor Current,GL 09 00 02 B1 0 008,
DDC09,analogValue,61,B1,par_run_hours_00,PP_02_Run Hours,GL 09 00 02 B1 0 009,
DDC09,analogValue,62,B1,par_energy_00,PP_02_Energy,GL 09 00 02 B1 0 00A,
DDC09,analogValue,63,B1,sts_on_off_00,PP_03_On/Off status,GL 09 00 03 B1 0 002,
DDC09,analogValue,64,B1,sts_auto_manual_00,PP_03_Auto Manual Status,GL 09 00 03 B1 0 003,
DDC09,analogValue,65,B1,alm_trip_00,PP_03_Trip Status,GL 09 00 03 B1 A 004,
DDC09,analogValue,66,B1,par_speed_00,PP_03_Speed,GL 09 00 03 B1 0 005,
DDC09,analogValue,67,B1,par_avg_power_00,PP_03_Motor Power,GL 09 00 03 B1 0 006,
DDC09,analogValue,68,B1,par_avg_voltage_00,PP_03_Motor Voltage,GL 09 00 03 B1 0 007,
DDC09,analogValue,69,B1,par_avg_current_00,PP_03_Motor Current,GL 09 00 03 B1 0 008,
