DDCId,ObjectType,ObjectId,EqpType,EqpId,ParamName,ParamFullName,GLCode
DDC01,analogInput,1,C0,01,par_out_air_temp_00,Outside Air Temperature ,GL 01 00 01 C0 0 001
DDC01,analogInput,2,C0,01,par_out_air_humidity_00,Outside Air Humidity,GL 01 00 01 C0 0 002
DDC01,analogInput,3,C0,01,par_cwh_sup_temp_00,Chilled Water Supply Header Temperature,GL 01 00 01 C0 0 003
DDC01,analogInput,4,C0,01,par_cwh_ret_temp_00,Chilled Water Return Header Temperature,GL 01 00 01 C0 0 004
DDC01,analogInput,5,BA,01,par_dpt_00,CH-01 Chiller DPT,GL 01 00 01 BA 0 002
DDC01,analogInput,6,BA,02,par_dpt_00,CH-02 Chiller DPT,GL 01 00 02 BA 0 002
DDC01,binaryOutput,7,BA,01,cmd_on_off_00,CH-01 On/Off Command,GL 01 00 01 BA 0 001
DDC01,binaryOutput,8,BA,02,cmd_on_off_00,CH-02 On/Off Command,GL 01 00 02 BA 0 001
DDC01,binaryOutput,9,BA,01,cmd_evap_vlv_on_off_00,CH-01 Evap Valve Command,GL 01 00 01 BA 0 003
DDC01,binaryOutput,10,BA,02,cmd_evap_vlv_on_off_00,CH-02 Evap Valve Command,GL 01 00 02 BA 0 003
DDC01,binaryValue,11,BA,01,sts_on_off_01,CH-01 C1 On/Off status,GL 01 00 01 BA 0 007
DDC01,binaryValue,12,BA,01,sts_on_off_02,CH-01 C2 On/Off status,GL 01 00 01 BA 0 008
DDC01,analogInput,13,B2,01,sts_vfd_00,PP-01 VFD Status,GL 02 00 01 B2 0 001
DDC01,analogInput,14,B2,02,sts_vfd_00,PP-02 VFD Status,GL 02 00 02 B2 0 001
DDC01,analogInput,15,B2,03,sts_vfd_00,PP-03 VFD Status,GL 02 00 03 B2 0 001
DDC01,analogInput,16,C0,01,sts_bypass_vlv_on_off_00,By Pass Valve Feeback,GL 02 00 01 C0 0 008
DDC01,analogOutput,17,C0,01,cmd_bypass_vlv_on_off_00,By Pass Valve Command,GL 02 00 01 C0 0 007
DDC01,binaryOutput,18,CB,01,cmd_on_off_00,PS-01 On/Off Command,GL 02 00 01 CB 0 001
DDC01,binaryValue,19,CB,01,sts_on_off_00,PS-01 On/Off status,GL 02 00 01 CB 0 002
DDC01,analogInput,20,A7,01,par_sat_00,TFA-01 Air Leaving Temperature,GL 03 00 01 A7 0 004
DDC01,analogInput,21,A7,01,par_percent_rh_00,TFA-01 Air Leaving Humidity,GL 03 00 01 A7 0 003
DDC01,analogInput,22,A7,02,par_sat_00,TFA-02 Air Leaving Temperature,GL 03 00 02 A7 0 004
DDC01,analogInput,23,A7,02,par_percent_rh_00,TFA-02 Air Leaving Humidity,GL 03 00 02 A7 0 003
DDC01,analogOutput,24,A7,01,cmd_vlv_ctrl_00,TFA-01 Chilled Water Valve Control,GL 03 00 01 A7 0 005
DDC01,analogOutput,25,A7,02,cmd_vlv_ctrl_00,TFA-02 Chilled Water Valve Control,GL 03 00 02 A7 0 005
DDC01,binaryInput,26,A7,01,sts_on_off_00,TFA-01 On/Off Status,GL 03 00 01 A7 0 002
DDC01,binaryInput,27,A7,02,sts_on_off_00,TFA-02 On/Off Status,GL 03 00 02 A7 0 002
DDC01,binaryOutput,28,A7,01,cmd_on_off_00,TFA-01 On/Off Command,GL 03 00 01 A7 0 001
DDC01,binaryOutput,29,A7,02,cmd_on_off_00,TFA-02 On/Off Command,GL 03 00 02 A7 0 001
DDC01,analogInput,30,C7,01,par_hot_water_ret_temp_00,HP-01 Heat Pump return Temp,GL 04 00 01 C7 0 003
DDC01,analogInput,31,C7,02,par_hot_water_ret_temp_00,HP-02 Heat Pump return Temp,GL 04 00 02 C7 0 003
DDC01,analogInput,32,C0,01,par_hot_sup_temp_00,Hot Water Supply Header Temperature,GL 04 00 01 C0 0 005
DDC01,analogInput,33,C0,01,par_hot_ret_temp_00,Hot Water Return Header Temperature,GL 04 00 01 C0 0 006
DDC01,binaryOutput,34,C7,01,cmd_on_off_00,HP-01 On/Off Command,GL 04 00 01 C7 0 001
DDC01,binaryOutput,35,C7,02,cmd_on_off_00,HP-02 Heat Pump On/Off Command,GL 04 00 02 C7 0 001
DDC01,binaryInput,36,C7,01,sts_on_off_00,HP-01 Chiller On/Off status,GL 04 00 01 C7 0 002
DDC01,binaryInput,37,C7,02,sts_on_off_00,HP-02 Heat Pump On/Off status,GL 04 00 02 C7 0 002
DDC01,binaryInput,38,BF,01,sts_on_off_00,HWP-01 On/Off status,GL 04 00 01 BF 0 002
DDC01,binaryInput,39,BF,02,sts_on_off_00,HWP-02 On/Off status,GL 04 00 02 BF 0 002
DDC01,binaryOutput,40,BF,01,cmd_on_off_00,HWP-01 On/Off Command,GL 04 00 01 BF 0 001
DDC01,binaryOutput,41,BF,02,cmd_on_off_00,HWP-02 On/Off Command,GL 04 00 02 BF 0 001
DDC01,analogInput,42,A1,01,par_sat_00,AHU-CR-01 Supply Duct Temperature,GL 05 00 01 A1 0 006
DDC01,analogInput,43,A1,01,par_rat_00,AHU-CR-01 Return Duct Temperature,GL 05 00 01 A1 0 007
DDC01,analogInput,44,A1,01,par_percent_rh_00,AHU-CR-01 Return Duct Humidity,GL 05 00 01 A1 0 008
DDC01,analogInput,45,A1,01,sts_vfd_00,AHU-CR-01 Fan VFD Status,GL 05 00 01 A1 0 009
DDC01,analogOutput,46,A1,01,cmd_vfd_00,AHU-CR-01 VFD speed control,GL 05 00 01 A1 0 00A
DDC01,analogOutput,47,A1,01,cmd_vlv_ctrl_01,AHU-CR-01 Chilled Water Valve Control,GL 05 00 01 A1 0 00B
DDC01,analogOutput,48,A1,01,cmd_vlv_ctrl_02,AHU-CR-01 Hot Water Coil Control,GL 05 00 01 A1 0 00C
DDC01,binaryInput,49,A1,01,sts_on_off_00,AHU-CR-01 On/Off Status,GL 05 00 01 A1 0 002
DDC01,binaryInput,50,A1,01,sts_auto_manual_00,AHU-CR-01 Auto/Manual Status,GL 05 00 01 A1 0 003
DDC01,binaryInput,51,A1,01,sts_filter_01,AHU-CR-01 Fine Filter DP Switch,GL 05 00 01 A1 0 004
DDC01,binaryInput,52,A1,01,sts_filter_02,AHU-CR-01 Hepa Filter DP Switch,GL 05 00 01 A1 0 005
DDC01,binaryOutput,53,A1,01,cmd_on_off_00,AHU-CR-01 On/Off Command,GL 05 00 01 A1 0 001
DDC01,analogInput,54,A1,02,par_sat_00,AHU-CR-02 Supply Duct Temperature,GL 06 00 02 A1 0 006
DDC01,analogInput,55,A1,02,par_rat_00,AHU-CR-02 Return Duct Temperature,GL 06 00 02 A1 0 007
DDC01,analogInput,56,A1,02,par_percent_rh_00,AHU-CR-02 Return Duct Humidity,GL 06 00 02 A1 0 008
DDC01,analogInput,57,A1,02,sts_vfd_00,AHU-CR-02 Fan VFD Status,GL 06 00 02 A1 0 009
DDC01,analogOutput,58,A1,02,cmd_vfd_00,AHU-CR-02 VFD speed control,GL 06 00 02 A1 0 00A
DDC01,analogOutput,59,A1,02,cmd_vlv_ctrl_01,AHU-CR-02 Chilled Water Valve Control,GL 06 00 02 A1 0 00B
DDC01,analogOutput,60,A1,02,cmd_vlv_ctrl_02,AHU-CR-02 Hot Water Coil Control,GL 06 00 02 A1 0 00C
DDC01,binaryInput,61,A1,02,sts_on_off_00,AHU-CR-02 On/Off Status,GL 06 00 02 A1 0 002
DDC01,binaryInput,62,A1,02,sts_auto_manual_00,AHU-CR-02 Auto/Manual Status,GL 06 00 02 A1 0 003
DDC01,binaryInput,63,A1,02,sts_filter_01,AHU-CR-02 Fine Filter DP Switch,GL 06 00 02 A1 0 004
DDC01,binaryInput,64,A1,02,sts_filter_02,AHU-CR-02 Hepa Filter DP Switch,GL 06 00 02 A1 0 005
DDC01,binaryOutput,65,A1,02,cmd_on_off_00,AHU-CR-02 On/Off Command,GL 06 00 02 A1 0 001
DDC01,analogInput,66,A1,03,par_sat_00,AHU-CR-03 Supply Duct Temperature,GL 07 00 03 A1 0 006
DDC01,analogInput,67,A1,03,par_rat_00,AHU-CR-03 Return Duct Temperature,GL 07 00 03 A1 0 007
DDC01,analogInput,68,A1,03,par_percent_rh_00,AHU-CR-03 Return Duct Humidity,GL 07 00 03 A1 0 008
DDC01,analogInput,69,A1,03,sts_vfd_00,AHU-CR-03 Fan VFD Status,GL 07 00 03 A1 0 009
DDC01,analogOutput,70,A1,03,cmd_vfd_00,AHU-CR-03 VFD speed control,GL 07 00 03 A1 0 00A
DDC01,analogOutput,71,A1,03,cmd_vlv_ctrl_01,AHU-CR-03 Chilled Water Valve Control,GL 07 00 03 A1 0 00B
DDC01,analogOutput,72,A1,03,cmd_vlv_ctrl_02,AHU-CR-03 Hot Water Coil Control,GL 07 00 03 A1 0 00C
DDC01,binaryInput,73,A1,03,sts_on_off_00,AHU-CR-03 On/Off Status,GL 07 00 03 A1 0 002
DDC01,binaryInput,74,A1,03,sts_auto_manual_00,AHU-CR-03 Auto/Manual Status,GL 07 00 03 A1 0 003
DDC01,binaryInput,75,A1,03,sts_filter_01,AHU-CR-03 Fine Filter DP Switch,GL 07 00 03 A1 0 004
DDC01,binaryInput,76,A1,03,sts_filter_02,AHU-CR-03 Hepa Filter DP Switch,GL 07 00 03 A1 0 005
DDC01,binaryOutput,77,A1,03,cmd_on_off_00,AHU-CR-03 On/Off Command,GL 07 00 03 A1 0 001
DDC01,analogInput,78,A1,04,par_sat_00,AHU-CR-04 Supply Duct Temperature,GL 08 00 04 A1 0 006
DDC01,analogInput,79,A1,04,par_rat_00,AHU-CR-04 Return Duct Temperature,GL 08 00 04 A1 0 007
DDC01,analogInput,80,A1,04,par_percent_rh_00,AHU-CR-04 Return Duct Humidity,GL 08 00 04 A1 0 008
DDC01,analogInput,81,A1,04,sts_vfd_00,AHU-CR-04 Fan VFD Status,GL 08 00 04 A1 0 009
DDC01,analogOutput,82,A1,04,cmd_vfd_00,AHU-CR-04 VFD speed control,GL 08 00 04 A1 0 00A
DDC01,analogOutput,83,A1,04,cmd_vlv_ctrl_01,AHU-CR-04 Chilled Water Valve Control,GL 08 00 04 A1 0 00B
DDC01,analogOutput,84,A1,04,cmd_vlv_ctrl_02,AHU-CR-04 Hot Water Coil Control,GL 08 00 04 A1 0 00C
DDC01,binaryInput,85,A1,04,sts_on_off_00,AHU-CR-04 On/Off Status,GL 08 00 04 A1 0 002
DDC01,binaryInput,86,A1,04,sts_auto_manual_00,AHU-CR-04 Auto/Manual Status,GL 08 00 04 A1 0 003
DDC01,binaryInput,87,A1,04,sts_filter_01,AHU-CR-04 Fine Filter DP Switch,GL 08 00 04 A1 0 004
DDC01,binaryInput,88,A1,04,sts_filter_02,AHU-CR-04 Hepa Filter DP Switch,GL 08 00 04 A1 0 005
DDC01,binaryOutput,89,A1,04,cmd_on_off_00,AHU-CR-04 On/Off Command,GL 08 00 04 A1 0 001
DDC01,analogInput,90,A1,05,par_sat_00,AHU-CR-05 Supply Duct Temperature,GL 09 00 05 A1 0 006
DDC01,analogInput,91,A1,05,par_rat_00,AHU-CR-05 Return Duct Temperature,GL 09 00 05 A1 0 007
DDC01,analogInput,92,A1,05,par_percent_rh_00,AHU-CR-05 Return Duct Humidity,GL 09 00 05 A1 0 008
DDC01,analogInput,93,A1,05,sts_vfd_00,AHU-CR-05 Fan VFD Status,GL 09 00 05 A1 0 009
DDC01,analogOutput,94,A1,05,cmd_vfd_00,AHU-CR-05 VFD speed control,GL 09 00 05 A1 0 00A
DDC01,analogOutput,95,A1,05,cmd_vlv_ctrl_01,AHU-CR-05 Chilled Water Valve Control,GL 09 00 05 A1 0 00B
DDC01,analogOutput,96,A1,05,cmd_vlv_ctrl_02,AHU-CR-05 Hot Water Coil Control,GL 09 00 05 A1 0 00C
DDC01,binaryInput,97,A1,05,sts_on_off_00,AHU-CR-05 On/Off Status,GL 09 00 05 A1 0 002
DDC01,binaryInput,98,A1,05,sts_auto_manual_00,AHU-CR-05 Auto/Manual Status,GL 09 00 05 A1 0 003
DDC01,binaryInput,99,A1,05,sts_filter_01,AHU-CR-05 Fine Filter DP Switch,GL 09 00 05 A1 0 004
DDC01,binaryInput,100,A1,05,sts_filter_02,AHU-CR-05 Hepa Filter DP Switch,GL 09 00 05 A1 0 005
DDC01,binaryOutput,101,A1,05,cmd_on_off_00,AHU-CR-05 On/Off Command,GL 09 00 05 A1 0 001
DDC01,analogInput,102,A0,01,par_sat_00,AHU-NCR-01 Supply Duct Temperature,GL 10 00 01 A0 0 002
DDC01,analogInput,103,A0,01,par_rat_00,AHU-NCR-01  Return Duct Temperature,GL 10 00 01 A0 0 003
DDC01,analogInput,104,A0,01,par_percent_rh_00,AHU-NCR-01 Return Duct Humidity,GL 10 00 01 A0 0 004
DDC01,analogInput,105,A0,01,sts_vfd_00,AHU-NCR-01 Fan VFD Status,GL 10 00 01 A0 0 005
